group,type,is_in_intel,is_filtered,category_strength,age,min_positives,max_positives,min_confidence,max_confidence,verdict,response,rule description
ETP,FN,TRUE,FALSE,weak,old,0,0,-,-,Closed,"Following a thorough investigation, we found that the domain is currently classified as partially malicious in the intel.. \nIn addition, we didn't find strong evidence of malicious indications to classify the domain as malicious. \nIn such cases, we believe the best course of action is for the customer to add the domain to their local list and not to add it to the intel.",Old FN domain with 0 indications already in partially malicious intel - Close
ETP,FN,TRUE,FALSE,weak,old,1,6,-,-,In Progress,This is an old domain with malicious indications and is currently in partially malicious intel. ,Old FN domain with 1 to 6  indications already in partially malicious intel - Analyse manually
ETP,FN,TRUE,FALSE,weak,old,7,100,-,-,Block,"Following a thorough investigation, we found that the domain is currently classified as partially malicious in the intel. However, a high number of malicious indications were found and therefore the domain will be added to the intel with higher confidence. ",Old FN domain with 7 or more indications already in partially malicious intel - Block
ETP,FN,TRUE,FALSE,weak,old,-,-,-,-,In Progress,VT Error - Please analyse manually. FN Domain currently in partially malicious Intel. ,New FN domain in partially malicious intel list with VT error - Analyse manually
ETP,FN,TRUE,TRUE,strong,new,0,100,-,-,Closed,"Following a thorough investigation, we found that this domain already exists in the intel however, it is currently being filtered. If the customer wishes to block this domain it is recommeded that they block it locally.",New FN domain filtered in the intel. Recommended to block locally - Close
ETP,FN,TRUE,TRUE,strong,new,-,-,-,-,Closed,"Following a thorough investigation, we found that this domain already exists in the intel however, it is currently being filtered. If the customer wishes to block this domain it is recommeded that they block it locally.",New FN domain filtered in the intel. Recommended to block locally - Close
ETP,FN,TRUE,TRUE,strong,old,0,100,-,-,Closed,"Following a thorough investigation, we found that this domain already exists in the intel however, it is currently being filtered. If the customer wishes to block this domain it is recommeded that they block it locally.",Old FN domain filtered in the intel. Recommended to block locally - Close
ETP,FN,TRUE,TRUE,strong,old,-,-,-,-,Closed,"Following a thorough investigation, we found that this domain already exists in the intel however, it is currently being filtered. If the customer wishes to block this domain it is recommeded that they block it locally.",Old FN domain filtered in the intel. Recommended to block locally - Close
ETP,FN,TRUE,TRUE,weak,new,0,100,-,-,Closed,"Following a thorough investigation, we found that this domain already exists in the intel however, it is currently being filtered. If the customer wishes to block this domain it is recommeded that they block it locally.",New FN domain filtered in partially malicious intel. Recommended to block locally - Close
ETP,FN,TRUE,TRUE,weak,new,-,-,-,-,Closed,"Following a thorough investigation, we found that this domain already exists in the intel however, it is currently being filtered. If the customer wishes to block this domain it is recommeded that they block it locally.",New FN domain filtered in partially malicious intel. Recommended to block locally - Close
ETP,FN,TRUE,TRUE,weak,old,0,100,-,-,Closed,"Following a thorough investigation, we found that this domain already exists in the intel however, it is currently being filtered. If the customer wishes to block this domain it is recommeded that they block it locally.",Old FN domain filtered in partially malicious intel. Recommended to block locally - Close
ETP,FN,TRUE,TRUE,weak,old,-,-,-,-,Closed,"Following a thorough investigation, we found that this domain already exists in the intel however, it is currently being filtered. If the customer wishes to block this domain it is recommeded that they block it locally.",Old FN domain filtered in partially malicious intel. Recommended to block locally - Close
ETP,FP,FALSE,-,-,new,0,100,-,-,Closed,"Following an investigation, we found the domain does not exist in the Intel.",New FP domain not in the intel - Close
ETP,FP,FALSE,-,-,new,-,-,-,-,Closed,"Following an investigation, we found the domain does not exist in the Intel.",New FP domain not in the intel - Close
ETP,FP,FALSE,-,-,old,0,100,-,-,Closed,"Following an investigation, we found the domain does not exist in the Intel.",Old FP domain not in the intel - Close
ETP,FP,FALSE,-,-,old,-,-,-,-,Closed,"Following an investigation, we found the domain does not exist in the Intel.",Old FP domain not in the intel - Close
ETP,FP,TRUE,FALSE,strong,new,0,4,-,-,In Progress,New domain with some malicious indications. Open to analyse manually,New FP domain with low indications - Analyse manually
ETP,FP,TRUE,FALSE,strong,new,5,100,-,-,Closed,"Following a thorough investigation, several malicious indications were found. \nIn such cases, we believe the best course of action is for the action is for the customer to remove the domain using their local list and not to remove it from the intel.",New FP domain with high indications - Close
ETP,FP,TRUE,FALSE,strong,new,-,-,-,-,In Progress,VT Error - New FP domain in the intel - Analyse manually,New FP domain with VT Error - Analyse manually
ETP,FP,TRUE,FALSE,strong,old,0,2,-,-,Allow," \nFollowing a thorough investigation, no current malicious activity has been confirmed. \nAs a result the domain will be removed from the intel.",Old FP domain with low indications - Allow
ETP,FP,TRUE,FALSE,strong,old,3,6,-,-,In Progress,Old domain with some malicious indications. Analyse manually,Old FP domain with medium indications - Analyse manually
ETP,FP,TRUE,FALSE,strong,old,7,100,-,-,Closed,"Following a thorough investigation, several malicious indications were found. \nIn such cases, we believe the best course of action is for the customer to use local lists to remove the domain and not to remove it from the intel.",Old FP domain with high indications - Close
ETP,FP,TRUE,FALSE,strong,old,-,-,-,-,In Progress,VT Error - Old FP domain in the intel - Analyse manually,Old FP domain with VT Error - Analyse manually
ETP,FP,TRUE,FALSE,weak,new,0,3,-,-,Closed,"Following a thorough investigation, we found that the domain is categorised as a Partially malicious domain. \nWhile there is a suspicion of malicious content, the domains under this category are not currently blocked. \nIn such cases, we recommend manual filtering for domains in this category instead of a blanket allow rule. ",New FP domain in partially malicious intel with low indications - Close 
ETP,FP,TRUE,FALSE,weak,new,4,100,-,-,Closed,"Following a thorough investigation, we found that the domain is categorised as a Partially malicious domain. \nThe domains under this category are not currently blocked however, suspicious indications have been found and therefore the domain will need to remain in the intel. ",New FP domain in partially malicious intel - Close 
ETP,FP,TRUE,FALSE,weak,new,-,-,-,-,Closed,"Following a thorough investigation, we found that the domain is categorised as a Partially malicious domain. \nWhile there is a suspicion of malicious content, the domains under this category are not currently blocked. \nIn such cases, we recommend manual filtering for domains in this category instead of a blanket allow rule. ",New FP domain in partially malicious intel with VT Error - Close 
ETP,FP,TRUE,FALSE,weak,old,0,100,-,-,Closed,"Following a thorough investigation, we found that the domain is categorised as a Partially malicious domain. \nWhile there is a suspicion of malicious content, the domains under this category are not currently blocked. \nIn such cases, we recommend manual filtering for domains in this category instead of a blanket allow rule. ",Old FP domain in partially malicious intel - Close 
ETP,FP,TRUE,FALSE,weak,old,-,-,-,-,In Progress,VT Error - Old FP domain in partially malicious intel - Analyse manually,Old FP domain in partially malicious intel withVT Error - Analyse manually
ETP,FP,TRUE,TRUE,-,-,-,-,-,-,Closed,"Following an investigation, we found the domain already exists in the intel however, it is currently being filtered.",FP filtered domain - Close
ETP,FP,TRUE,TRUE,strong,new,0,100,-,-,Closed,"Following an investigation, we found the domain already exists in the intel however, it is currently being filtered.",New FP domain filtered in the intel - Close
ETP,FP,TRUE,TRUE,strong,new,-,-,-,-,Closed,"Following an investigation, we found the domain already exists in the intel however, it is currently being filtered.",New FP domain filtered in the intel - Close
ETP,FP,TRUE,TRUE,strong,old,0,100,-,-,Closed,"Following an investigation, we found the domain already exists in the intel however, it is currently being filtered.",Old FP domain filtered in the intel - Close
ETP,FP,TRUE,TRUE,strong,old,-,-,-,-,Closed,"Following an investigation, we found the domain already exists in the intel however, it is currently being filtered.",Old FP domain filtered in the intel - Close
ETP,FP,TRUE,TRUE,weak,new,0,100,-,-,Closed,"Following an investigation, we found the domain already exists in partially malicious intel however, it is currently being filtered.",New FP domain filtered in partially malicious intel - Close
ETP,FP,TRUE,TRUE,weak,new,-,-,-,-,Closed,"Following an investigation, we found the domain already exists in partially malicious intel however, it is currently being filtered.",New FP domain filtered in partially malicious intel - Close
ETP,FP,TRUE,TRUE,weak,old,0,100,-,-,Closed,"Following an investigation, we found the domain already exists in partially malicious intel however, it is currently being filtered.",Old FP domain filtered in partially malicious intel - Close
ETP,FP,TRUE,TRUE,weak,old,-,-,-,-,Closed,"Following an investigation, we found the domain already exists in partially malicious intel however, it is currently being filtered.",Old FP domain filtered in partially malicious intel - Close
SPS,FN,FALSE,-,-,new,0,3,-,-,In Progress,This is a new domain with low malicious indications,New FN domain with low indications and not in the intel - Analyse manually
SPS,FN,FALSE,-,-,new,4,100,-,-,Block,"Following a thorough investigation, several malicious indications were found.  \nTherefore the domain will be added to the intel. ",New FN domain with 4 or more indications not in the intel - Block
SPS,FN,FALSE,-,-,new,-,-,-,-,In Progress,VT Error - This is a new domain in the intel - Analyse manually,New FN domain with VT Error and not in the intel - Analyse manually
SPS,FN,FALSE,-,-,old,0,0,-,-,Closed,"Following a thorough investigation, no malicious indications were found. \nTherefore the domain will not be added to the intel.",Old FN domain with 0 indications not in intel - Close
SPS,FN,FALSE,-,-,old,1,4,-,-,In Progress,This is an old domain with some indications. It is open to analyse manually,Old FN domain with 1 to 4 indications not in intel - Analyse manually
SPS,FN,FALSE,-,-,old,5,100,-,-,Block,"Following a thorough investigation, several malicious indications were found.  \nTherefore the domain will be added to the intel. ",Old FN domain with 5 or more indications not in intel - Block
SPS,FN,FALSE,-,-,old,-,-,-,-,In Progress,VT Error - This is an old FP domain in the intel - Analyse manually,Old FN domain with 1 to 4 indications not in intel - Analyse manually
SPS,FN,TRUE,-,-,new,0,1,3,4,In Progress,This is an new FN domain with low indications already listed in lower confidence intel - Analyse manually,New FN domain with low indications and already in lower confidence intel - Analyse manually
SPS,FN,TRUE,-,-,new,0,1,-,-,In Progress,This is an new FN domain with low indications already listed in the intel at an unknown cofidence level - Analyse manually,New FN domain with low indications and already in lower confidence intel - Analyse manually
SPS,FN,TRUE,-,-,new,0,100,5,5,Closed,"Following an investigation, we found the reported domain already exists in the intel at a high confidence level.",New FN domain already in confidence level 5 intel - Close
SPS,FN,TRUE,-,-,new,2,100,3,4,Block,"Following a thorough investigation, several malicious indications were found. \nThe domain is currently listed in the intel at a lower confidence level. \nTherefore the domain will be added to the intel with an incresed confidence.",New FN domain with 2 or more indications and already in lower confidence intel - Block
SPS,FN,TRUE,-,-,new,2,100,-,-,Block,"Following a thorough investigation, several malicious indications were found. \nThe domain is currently listed in the intel at a lower confidence level. \nTherefore the domain will be added to the intel with an incresed confidence.",New FN domain with 2 or more indications and already in the intel - Block
SPS,FN,TRUE,-,-,new,-,-,3,4,In Progress,VT Error - New FN domain in lower confidence level intel - Analyse manually,New FN domain with VT error and already in lower confidence intel - Analyse manually
SPS,FN,TRUE,-,-,new,-,-,5,5,Closed,"Following an investigation, we found the reported domain already exists in the intel at a high confidence level.",New FN domain already in confidence level 5 intel - Close
SPS,FN,TRUE,-,-,new,-,-,-,-,In Progress,VT Error - New FN domain in lower confidence level intel - Analyse manually,New FN domain with VT error and already in lower confidence intel - Analyse manually
SPS,FN,TRUE,-,-,old,0,1,3,4,In Progress,This is an old FN domain with low indications currently listed in lower confidence intel - Analyse manually,Old FN domain with low indications and already in lower confidence intel - Analyse manually
SPS,FN,TRUE,-,-,old,0,1,-,-,In Progress,This is an old FN domain with low indications currently listed at an unknown confidence level - Analyse manually,Old FN domain with low indications and already in the intel at an unknown confidence intel - Analyse manually
SPS,FN,TRUE,-,-,old,0,100,5,5,Closed,"Following an investigation, we found the reported domain already exists in the intel at a high confidence level.",Old FN domain already in confidence level 5 intel - Close
SPS,FN,TRUE,-,-,old,2,100,3,4,Block,"Following a thorough investigation, several malicious indications were found. \nThe domain is currently listed in the intel at a lower confidence level. \nTherefore the domain will be added to the intel with an incresed confidence.",Old FN domain with 2 or more indications and already in lower confidence intel - Block
SPS,FN,TRUE,-,-,old,2,100,-,-,Block,"Following a thorough investigation, several malicious indications were found. \nThe domain is currently listed in the intel at a lower confidence level. \nTherefore the domain will be added to the intel with an incresed confidence.",Old FN domain already listed at an unknown confidence level - Block
SPS,FN,TRUE,-,-,old,-,-,3,4,In Progress,VT Error - Old FN domain in lower confidence level intel - Analyse manually,Old FN domain withVT Error and already in lower confidence intel - Analyse manually
SPS,FN,TRUE,-,-,old,-,-,5,5,Closed,"Following an investigation, we found the reported domain already exists in the intel at a high confidence level.",Old FN domain already in confidence level 5 intel - Close
SPS,FN,TRUE,-,-,old,-,-,-,-,In Progress,VT Error - Old FN domain in lower confidence level intel - Analyse manually,Old FN domain withVT Error and already in lower confidence intel - Analyse manually
SPS,FP,FALSE,-,-,new,0,100,-,-,Closed,"Following an investigation, we found the domain does not exist in the Intel.",New FP domain not in the intel - Close
SPS,FP,FALSE,-,-,new,-,-,-,-,Closed,"Following an investigation, we found the domain does not exist in the Intel.",New FP domain not in the intel - Close
SPS,FP,FALSE,-,-,old,0,100,-,-,Closed,"Following an investigation, we found the domain does not exist in the Intel.",Old FP domain not in the intel - Close
SPS,FP,FALSE,-,-,old,-,-,-,-,Closed,"Following an investigation, we found the domain does not exist in the Intel.",Old FP domain not in the intel - Close
SPS,FP,TRUE,-,-,new,0,3,1,5,In Progress,This is a new domain with low malicious indications. Analyse manually,New FP domain with low indications - Analyse manually
SPS,FP,TRUE,-,-,new,0,3,-,-,In Progress,This is a new domain with low malicious indications. Analyse manually,New FP domain with low indications - Analyse manually
SPS,FP,TRUE,-,-,new,4,100,1,5,Closed,"Following a thorough investigation, several malicious indications were found. \nTherefore the domain will remain in the intel.",New FP domain with 4 or more indications - Close
SPS,FP,TRUE,-,-,new,4,100,-,-,Closed,"Following a thorough investigation, several malicious indications were found. \nTherefore the domain will remain in the intel.",New FP domain with 4 or more indications - Close
SPS,FP,TRUE,-,-,new,-,-,1,5,In Progress,VT Error - New FP domain in the intel - Analyse manually,New FP domain with low indications - Analyse manually
SPS,FP,TRUE,-,-,new,-,-,-,-,In Progress,VT Error - New FP domain in the intel - Analyse manually,New FP domain with low indications - Analyse manually
SPS,FP,TRUE,-,-,old,0,2,1,5,Allow," \nFollowing a thorough investigation, no current malicious activity has been confirmed. \nAs a result the domain will be removed from the intel.", no current malicious activity has been confirmed. \nAs a result the domain will be removed from the intel.
SPS,FP,TRUE,-,-,old,0,2,-,-,Allow," \nFollowing a thorough investigation, no current malicious activity has been confirmed. \nAs a result the domain will be removed from the intel.",Old FP domain with low indications - Allow
SPS,FP,TRUE,-,-,old,3,5,1,5,In Progress,This is an old domain with some indications. Analyse manually,Old FP domain with medium indications - Analyse manually
SPS,FP,TRUE,-,-,old,3,5,-,-,In Progress,This is an old domain with some indications. Analyse manually,Old FP domain with medium indications - Analyse manually
SPS,FP,TRUE,-,-,old,6,100,1,5,Closed,"Following a thorough investigation, several malicious indications were found. \nTherefore the domain will remain in the intel.",Old FP domain with high indications - Close
SPS,FP,TRUE,-,-,old,6,100,-,-,Closed,"Following a thorough investigation, several malicious indications were found. \nTherefore the domain will remain in the intel.",Old FP domain with high indications - Close
SPS,FP,TRUE,-,-,old,-,-,1,5,In Progress,VT Error - Old FP domain in the intel - Analyse manually,Old FP domain with medium indications - Analyse manually
SPS,FP,TRUE,-,-,old,-,-,-,-,In Progress,VT Error - Old FP domain in the intel - Analyse manually,Old FP domain with medium indications - Analyse manually
